Agency,Agency Type,Distribution Channel,Product Name,Claim,Duration,Destination,Net Sales,Commision (in value),Gender,Age
JZI,Airlines,Online,Basic Plan,No,181,INDONESIA,30,10.5,F,48
JZI,Airlines,Online,Basic Plan,No,5,INDONESIA,22,7.7,F,29
JZI,Airlines,Online,Basic Plan,No,22,THAILAND,18,6.3,M,66
JZI,Airlines,Online,Basic Plan,No,76,AUSTRALIA,35,12.25,M,57
JZI,Airlines,Online,Basic Plan,No,41,CHINA,44,15.4,F,37
JZI,Airlines,Online,Basic Plan,No,43,THAILAND,22,7.7,F,34
JZI,Airlines,Online,Basic Plan,No,5,CHINA,22,7.7,M,41
ART,Airlines,Online,24 Protect,No,56,PHILIPPINES,75.96,26.59,F,48
ART,Airlines,Online,24 Protect,No,3,SINGAPORE,12.5,4.38,M,48
ART,Airlines,Online,24 Protect,No,3,MALAYSIA,4.99,1.75,M,48
C2B,Airlines,Online,Bronze Plan,No,20,SINGAPORE,47,11.75,M,30
C2B,Airlines,Online,Bronze Plan,No,29,SINGAPORE,27,6.75,M,30
C2B,Airlines,Online,Bronze Plan,No,164,SINGAPORE,69.55,17.39,M,26
C2B,Airlines,Online,Bronze Plan,No,23,SINGAPORE,30.55,7.64,F,35
C2B,Airlines,Online,Silver Plan,No,13,SINGAPORE,19.5,4.88,M,34
C2B,Airlines,Online,Silver Plan,No,29,SINGAPORE,31.85,7.96,M,45
C2B,Airlines,Online,Gold Plan,No,23,SINGAPORE,77.35,19.34,F,52
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,23,MALAYSIA,29.7,17.82,,31
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,29,AUSTRALIA,39.6,23.76,,52
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,5,MALAYSIA,0,29.7,,53
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,26,UNITED STATES,148.5,89.1,,40
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,26,THAILAND,29.7,17.82,,31
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,152,UNITED STATES,9.9,5.94,,31
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,48,AUSTRALIA,59.4,35.64,,26
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,5,MALAYSIA,39.6,23.76,,60
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,30,MALAYSIA,59.4,35.64,,27
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,9,THAILAND,49.5,29.7,,50
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,32,MALAYSIA,49.5,29.7,,31
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,8,MALAYSIA,39.6,23.76,,30
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,4,MALAYSIA,19.8,11.88,,29
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,111,AUSTRALIA,89.1,53.46,,31
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,34,AUSTRALIA,19.8,11.88,,34
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,19,MALAYSIA,39.6,23.76,,35
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,20,AUSTRALIA,148.5,89.1,,34
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,201,AUSTRALIA,0,77.22,,23
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,2,SINGAPORE,9.9,5.94,,44
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,4,VIET NAM,20,0,,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,13,THAILAND,20,0,,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,39,POLAND,69,0,,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,10,HONG KONG,20,0,,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,48,MALAYSIA,20,0,,53
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,62,"TAIWAN, PROVINCE OF CHINA",22,0,,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,4,MALAYSIA,20,0,,53
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,90,"KOREA, REPUBLIC OF",42,0,,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,10,PHILIPPINES,56,0,,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,13,MALAYSIA,20,0,,43
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,19,THAILAND,20,0,,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,3,SINGAPORE,20,0,,39
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,18,THAILAND,20,0,,45
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,18,VIET NAM,20,0,,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,22,CHINA,69,0,,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,6,CHINA,36,0,,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,11,MALAYSIA,20,0,,48
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,18,JAPAN,112,0,,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,12,CHINA,27,0,,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,81,"KOREA, REPUBLIC OF",32,0,,24
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,36,SINGAPORE,67,0,,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,28,SINGAPORE,20,0,,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,57,"KOREA, REPUBLIC OF",53,0,,57
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,42,MALAYSIA,20,0,,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,91,JAPAN,44,0,,29
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,7,HONG KONG,20,0,,61
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,12,MALAYSIA,20,0,,27
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,49,MALAYSIA,20,0,,27
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,13,INDONESIA,20,0,,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,28,INDIA,50,0,,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,124,JAPAN,89,0,,25
EPX,Travel Agency,Online,Cancellation Plan,No,7,MALAYSIA,16,0,,36
EPX,Travel Agency,Online,Cancellation Plan,No,22,HONG KONG,29,0,,36
EPX,Travel Agency,Online,Cancellation Plan,No,1,UNITED STATES,20,0,,47
EPX,Travel Agency,Online,Cancellation Plan,No,49,INDIA,24,0,,36
EPX,Travel Agency,Online,Cancellation Plan,No,28,THAILAND,27,0,,36
EPX,Travel Agency,Online,Cancellation Plan,No,13,CHINA,33,0,,36
EPX,Travel Agency,Online,Cancellation Plan,No,118,MYANMAR,10,0,,35
EPX,Travel Agency,Online,Cancellation Plan,No,7,SINGAPORE,18,0,,36
EPX,Travel Agency,Online,Cancellation Plan,No,7,"KOREA, REPUBLIC OF",58,0,,36
EPX,Travel Agency,Online,Cancellation Plan,No,52,SPAIN,46,0,,36
EPX,Travel Agency,Online,Cancellation Plan,No,59,MYANMAR,16,0,,21
EPX,Travel Agency,Online,Cancellation Plan,No,38,HONG KONG,12,0,,36
EPX,Travel Agency,Online,Cancellation Plan,No,18,THAILAND,29,0,,36
EPX,Travel Agency,Online,Cancellation Plan,No,73,UNITED STATES,69,0,,59
EPX,Travel Agency,Online,Cancellation Plan,No,21,INDONESIA,15,0,,31
EPX,Travel Agency,Online,Cancellation Plan,No,25,MALAYSIA,20,0,,36
EPX,Travel Agency,Online,Cancellation Plan,No,19,"KOREA, REPUBLIC OF",19,0,,36
EPX,Travel Agency,Online,Cancellation Plan,No,20,MALAYSIA,13,0,,36
EPX,Travel Agency,Online,Cancellation Plan,No,33,UNITED KINGDOM,74,0,,36
EPX,Travel Agency,Online,Cancellation Plan,No,31,THAILAND,40,0,,30
EPX,Travel Agency,Online,Cancellation Plan,No,24,THAILAND,10,0,,36
EPX,Travel Agency,Online,Cancellation Plan,No,1,UNITED STATES,17,0,,28
EPX,Travel Agency,Online,Cancellation Plan,No,12,MALAYSIA,13,0,,36
EPX,Travel Agency,Online,Cancellation Plan,No,5,MALAYSIA,10,0,,36
EPX,Travel Agency,Online,Cancellation Plan,No,25,CZECH REPUBLIC,80,0,,36
EPX,Travel Agency,Online,Cancellation Plan,No,12,HONG KONG,80,0,,36
EPX,Travel Agency,Online,Cancellation Plan,No,12,THAILAND,34,0,,36
EPX,Travel Agency,Online,Cancellation Plan,No,94,AUSTRALIA,80,0,,36
EPX,Travel Agency,Online,Cancellation Plan,No,13,MYANMAR,10,0,,36
EPX,Travel Agency,Online,Cancellation Plan,No,46,AUSTRALIA,80,0,,36
EPX,Travel Agency,Online,Cancellation Plan,No,29,"KOREA, REPUBLIC OF",22,0,,30
EPX,Travel Agency,Online,Cancellation Plan,No,57,SINGAPORE,11,0,,40
EPX,Travel Agency,Online,Cancellation Plan,No,82,GERMANY,80,0,,36
EPX,Travel Agency,Online,Cancellation Plan,No,13,SRI LANKA,10,0,,36
EPX,Travel Agency,Online,Cancellation Plan,No,12,CAMBODIA,14,0,,36
EPX,Travel Agency,Online,Cancellation Plan,No,9,THAILAND,13,0,,36
EPX,Travel Agency,Online,Cancellation Plan,No,6,THAILAND,23,0,,33
EPX,Travel Agency,Online,1 way Comprehensive Plan,No,55,AUSTRALIA,26,0,,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,No,2,MALAYSIA,20,0,,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,No,26,MALAYSIA,20,0,,24
EPX,Travel Agency,Online,1 way Comprehensive Plan,No,4,CHINA,20,0,,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,No,25,CHINA,46,0,,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,No,49,SINGAPORE,20,0,,29
JWT,Airlines,Online,Value Plan,No,4,INDIA,62,24.8,F,118
RAB,Airlines,Online,Value Plan,No,14,BRUNEI DARUSSALAM,15,6,,39
SSI,Airlines,Online,Ticket Protector,No,54,SINGAPORE,1.98,0.56,,48
SSI,Airlines,Online,Ticket Protector,No,40,SINGAPORE,3.89,1.09,,48
SSI,Airlines,Online,Ticket Protector,No,11,SINGAPORE,7.21,2.02,,48
JZI,Airlines,Online,Basic Plan,No,5,HONG KONG,22,7.7,M,67
JZI,Airlines,Online,Basic Plan,No,5,INDONESIA,22,7.7,M,53
JZI,Airlines,Online,Basic Plan,No,6,THAILAND,22,7.7,F,60
JZI,Airlines,Online,Basic Plan,No,2,VIET NAM,18,6.3,F,57
JZI,Airlines,Online,Basic Plan,No,15,CAMBODIA,30,10.5,M,57
JZI,Airlines,Online,Basic Plan,No,90,MALAYSIA,22,7.7,F,57
JZI,Airlines,Online,Basic Plan,No,28,HONG KONG,35,12.25,M,52
JZI,Airlines,Online,Basic Plan,No,21,VIET NAM,22,7.7,M,40
JZI,Airlines,Online,Basic Plan,No,130,INDONESIA,33,11.55,F,38
JZI,Airlines,Online,Basic Plan,No,34,CHINA,22,7.7,F,46
JZI,Airlines,Online,Value Plan,No,49,AUSTRIA,67,23.45,F,49
JZI,Airlines,Online,Value Plan,No,33,AUSTRALIA,92,32.2,M,72
C2B,Airlines,Online,Bronze Plan,No,19,SINGAPORE,17.55,4.39,M,31
C2B,Airlines,Online,Bronze Plan,No,4,SINGAPORE,17.55,4.39,M,35
C2B,Airlines,Online,Bronze Plan,No,9,SINGAPORE,17.55,4.39,F,26
C2B,Airlines,Online,Bronze Plan,No,28,SINGAPORE,17.55,4.39,M,33
C2B,Airlines,Online,Bronze Plan,No,18,SINGAPORE,0,7.47,M,45
C2B,Airlines,Online,Bronze Plan,No,18,SINGAPORE,38.35,9.59,F,34
C2B,Airlines,Online,Bronze Plan,No,55,SINGAPORE,94,23.5,M,30
C2B,Airlines,Online,Bronze Plan,No,32,SINGAPORE,44.85,11.21,F,27
C2B,Airlines,Online,Silver Plan,No,13,SINGAPORE,62.25,15.56,M,27
C2B,Airlines,Online,Silver Plan,No,13,SINGAPORE,81.75,20.44,M,30
C2B,Airlines,Online,Silver Plan,No,12,SINGAPORE,62.25,15.56,M,29
C2B,Airlines,Online,Silver Plan,Yes,10,SINGAPORE,43.55,10.89,M,45
C2B,Airlines,Online,Silver Plan,No,10,SINGAPORE,43.55,10.89,F,46
C2B,Airlines,Online,Silver Plan,No,34,SINGAPORE,109,27.25,F,27
C2B,Airlines,Online,Annual Silver Plan,No,388,SINGAPORE,252.85,63.21,F,29
C2B,Airlines,Online,Annual Silver Plan,No,388,SINGAPORE,260.63,65.16,F,30
C2B,Airlines,Online,Annual Silver Plan,No,369,SINGAPORE,260.63,65.16,F,47
C2B,Airlines,Online,Annual Silver Plan,No,368,SINGAPORE,252.85,63.21,M,30
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,114,UNITED KINGDOM,69.3,41.58,,51
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,20,ITALY,39.6,23.76,,51
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,40,SOUTH AFRICA,128.7,77.22,,55
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,3,MALAYSIA,29.7,17.82,,28
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,85,NEW ZEALAND,108.9,65.34,,35
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,5,MALAYSIA,0,29.7,,54
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,17,UNITED STATES,118.8,71.28,,32
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,6,UNITED STATES,29.7,17.82,,31
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,133,NORWAY,0,65.34,,31
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,5,UNITED KINGDOM,39.6,23.76,,31
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,5,THAILAND,29.7,17.82,,44
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,18,AUSTRALIA,138.6,83.16,,51
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,5,AUSTRALIA,29.7,17.82,,29
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,45,THAILAND,19.8,11.88,,33
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,8,SOUTH AFRICA,49.5,29.7,,31
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,103,UNITED STATES,158.4,95.04,,29
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,12,JAPAN,29.7,17.82,,31
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,110,SINGAPORE,20,0,,35
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,147,UNITED KINGDOM,64,0,,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,32,"TANZANIA, UNITED REPUBLIC OF",112,0,,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,26,MALAYSIA,20,0,,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,37,UNITED STATES,112,0,,31
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,32,UNITED STATES,50,0,,25
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,7,HONG KONG,23,0,,28
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,39,SINGAPORE,38,0,,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,27,INDONESIA,20,0,,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,22,INDONESIA,20,0,,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,306,JAPAN,31,0,,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,11,AUSTRALIA,74,0,,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,12,LAO PEOPLE'S DEMOCRATIC REPUBLIC,37,0,,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,21,CHINA,52,0,,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,56,ITALY,69,0,,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,56,ITALY,69,0,,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,20,THAILAND,20,0,,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,41,VIET NAM,26,0,,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,15,PHILIPPINES,30,0,,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,20,INDIA,46,0,,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,9,THAILAND,20,0,,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,14,THAILAND,20,0,,40
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,35,SINGAPORE,56,0,,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,2,MALAYSIA,29,0,,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,8,MALAYSIA,20,0,,35
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,9,SINGAPORE,0,0,,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,8,MALAYSIA,32,0,,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,10,VIET NAM,23,0,,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,24,VIET NAM,71,0,,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,4,SINGAPORE,20,0,,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,3,MALAYSIA,20,0,,36
